,id,project,branch,hashtags,change_id,subject,status,created,updated,submit_type,insertions,deletions,total_comment_count,unresolved_comment_count,has_review_started,meta_rev_id,_number,owner,requirements,submit_records,attention_set,removed_from_attention_set,work_in_progress,cherry_pick_of_change,cherry_pick_of_patch_set,topic,revert_of,_more_changes
0,chromiumos%2Fplatform2~main~I000256f2a4ed4f3e6f31a3ca34584043ce417e71,chromiumos/platform2,main,[],I000256f2a4ed4f3e6f31a3ca34584043ce417e71,codelab: [DO NOT SUBMIT] Test C,NEW,2021-11-18 18:04:16.000000000,2021-11-18 18:04:16.000000000,REBASE_ALWAYS,1,0,0,0,True,328bca942a23fbb4cf7c3fbaa2f7b9d97d59e294,3289293,{'_account_id': 1524532},"[{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]","[{'rule_name': 'gerrit~PrologRule', 'status': 'NOT_READY', 'labels': [{'label': 'Auto-Submit', 'status': 'MAY'}, {'label': 'Owners-Override', 'status': 'MAY'}, {'label': 'Bot-Commit', 'status': 'MAY'}, {'label': 'Verified', 'status': 'NEED'}, {'label': 'Commit-Queue', 'status': 'MAY'}, {'label': 'Code-Review', 'status': 'NEED'}]}, {'rule_name': 'code-owners~CodeOwnerSubmitRule', 'status': 'NOT_READY', 'requirements': [{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]}]",,,,,,,,
1,chromiumos%2Fplatform2~main~I29678e042bf81455904dbf2110a502020c00d550,chromiumos/platform2,main,[],I29678e042bf81455904dbf2110a502020c00d550,codelab: [DO NOT SUBMIT] Test A - CL description updated,NEW,2021-11-18 16:50:13.000000000,2021-11-18 18:04:16.000000000,REBASE_ALWAYS,1,0,0,0,True,59ebf430c53286cbf6aafcaf2c01ac632bbe46bb,3289290,{'_account_id': 1524532},"[{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]","[{'rule_name': 'gerrit~PrologRule', 'status': 'NOT_READY', 'labels': [{'label': 'Auto-Submit', 'status': 'MAY'}, {'label': 'Owners-Override', 'status': 'MAY'}, {'label': 'Bot-Commit', 'status': 'MAY'}, {'label': 'Verified', 'status': 'NEED'}, {'label': 'Commit-Queue', 'status': 'MAY'}, {'label': 'Code-Review', 'status': 'NEED'}]}, {'rule_name': 'code-owners~CodeOwnerSubmitRule', 'status': 'NOT_READY', 'requirements': [{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]}]",,,,,,,,
2,chromium%2Fsrc~main~I3ac152e78f076321f2e736abaa64851cf2d7aacd,chromium/src,main,['git-source-editor'],I3ac152e78f076321f2e736abaa64851cf2d7aacd,Updater: Allow .keystone_install executables for backward compatibility.,NEW,2021-11-18 15:08:05.000000000,2021-11-18 18:04:05.000000000,REBASE_ALWAYS,13,21,10,0,True,3522c977ff4e10ae8030c1e7d444ab6e41428d51,3289105,{'_account_id': 1116066},"[{'status': 'OK', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]","[{'rule_name': 'gerrit~PrologRule', 'status': 'NOT_READY', 'labels': [{'label': 'Auto-Submit', 'status': 'MAY'}, {'label': 'Quick-Run', 'status': 'MAY'}, {'label': 'Owners-Override', 'status': 'MAY'}, {'label': 'Bot-Commit', 'status': 'MAY'}, {'label': 'Commit-Queue', 'status': 'MAY'}, {'label': 'Code-Review', 'status': 'NEED'}]}, {'rule_name': 'code-owners~CodeOwnerSubmitRule', 'status': 'OK', 'requirements': [{'status': 'OK', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]}]","{'1116033': {'account': {'_account_id': 1116033}, 'last_update': '2021-11-18 18:04:05.000000000', 'reason': '<GERRIT_ACCOUNT_1116066> replied on the change', 'reason_account': {'_account_id': 1116066}}}","{'1116066': {'account': {'_account_id': 1116066}, 'last_update': '2021-11-18 18:03:43.000000000', 'reason': 'removed on reply'}}",,,,,,
3,emscripten-releases~main~Ief2f73e1ad25d4fb730622b284aa7d135e05ba50,emscripten-releases,main,[],Ief2f73e1ad25d4fb730622b284aa7d135e05ba50,Roll llvm-project from b2ad420a786a to 7a14244cc645 (23 revisions),NEW,2021-11-18 18:03:35.000000000,2021-11-18 18:03:59.000000000,REBASE_ALWAYS,1,1,0,0,True,56265571626cbc4a1a6c6e91731614348647e172,3291674,{'_account_id': 1302611},"[{'status': 'OK', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]","[{'rule_name': 'gerrit~PrologRule', 'status': 'OK', 'labels': [{'label': 'Auto-Submit', 'status': 'MAY'}, {'label': 'Owners-Override', 'status': 'MAY'}, {'label': 'Bot-Commit', 'status': 'MAY'}, {'label': 'Commit-Queue', 'status': 'MAY'}, {'label': 'Code-Review', 'status': 'MAY'}]}, {'rule_name': 'code-owners~CodeOwnerSubmitRule', 'status': 'OK', 'requirements': [{'status': 'OK', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]}]",,,,,,,,
4,chromium%2Fsrc~main~I6f78901656567c1b56c318f491f15c7f35095bb2,chromium/src,main,['zenith'],I6f78901656567c1b56c318f491f15c7f35095bb2,[Zenith] Add unit tests to the Zenith dialog,NEW,2021-11-18 16:06:27.000000000,2021-11-18 18:03:57.000000000,REBASE_ALWAYS,47,25,0,0,False,188e986081d5c74e828095d94832ed7bd830957e,3291609,{'_account_id': 1410933},"[{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]","[{'rule_name': 'gerrit~PrologRule', 'status': 'NOT_READY', 'labels': [{'label': 'Auto-Submit', 'status': 'MAY'}, {'label': 'Quick-Run', 'status': 'MAY'}, {'label': 'Owners-Override', 'status': 'MAY'}, {'label': 'Bot-Commit', 'status': 'MAY'}, {'label': 'Commit-Queue', 'status': 'MAY'}, {'label': 'Code-Review', 'status': 'NEED'}]}, {'rule_name': 'code-owners~CodeOwnerSubmitRule', 'status': 'NOT_READY', 'requirements': [{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]}]",,,True,,,,,
5,chromiumos%2Fplatform%2Fec~main~If2d67f37e856efec552517073ef4bad4384b3ab1,chromiumos/platform/ec,main,[],If2d67f37e856efec552517073ef4bad4384b3ab1,zephyr: Fix uninitialised tx_status_alert variable,NEW,2021-11-18 16:07:47.000000000,2021-11-18 18:03:53.000000000,REBASE_ALWAYS,2,0,2,1,True,d27c0a81a1444991655cd4d2d8573893c3cfa920,3290722,{'_account_id': 1511343},"[{'status': 'OK', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]","[{'rule_name': 'gerrit~PrologRule', 'status': 'NOT_READY', 'labels': [{'label': 'Auto-Submit', 'status': 'MAY'}, {'label': 'Owners-Override', 'status': 'MAY'}, {'label': 'Bot-Commit', 'status': 'MAY'}, {'label': 'Verified', 'status': 'NEED'}, {'label': 'Commit-Queue', 'status': 'MAY'}, {'label': 'Code-Review', 'status': 'OK', 'applied_by': {'_account_id': 1523797}}]}, {'rule_name': 'code-owners~CodeOwnerSubmitRule', 'status': 'OK', 'requirements': [{'status': 'OK', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]}]","{'1511343': {'account': {'_account_id': 1511343}, 'last_update': '2021-11-18 17:31:19.000000000', 'reason': '<GERRIT_ACCOUNT_1523797> replied on the change', 'reason_account': {'_account_id': 1523797}}}","{'1507738': {'account': {'_account_id': 1507738}, 'last_update': '2021-11-18 18:03:53.000000000', 'reason': 'Reviewer/Cc was removed'}, '1522837': {'account': {'_account_id': 1522837}, 'last_update': '2021-11-18 16:11:47.000000000', 'reason': 'Reviewer/Cc was removed'}, '1523797': {'account': {'_account_id': 1523797}, 'last_update': '2021-11-18 17:31:19.000000000', 'reason': '<GERRIT_ACCOUNT_1523797> replied on the change', 'reason_account': {'_account_id': 1523797}}}",,,,,,
6,chromium%2Fsrc~main~If93ab95f54d6f380518f90847ea130a6a0cd0089,chromium/src,main,['memories'],If93ab95f54d6f380518f90847ea130a6a0cd0089,[memories] Updates policy desc to control visibility of history clusters,NEW,2021-11-18 18:02:31.000000000,2021-11-18 18:03:51.000000000,REBASE_ALWAYS,4,4,1,0,True,534e1da80dfa3fd89a5f204ca1ded6051cd89f20,3291769,{'_account_id': 1166499},"[{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]","[{'rule_name': 'gerrit~PrologRule', 'status': 'NOT_READY', 'labels': [{'label': 'Auto-Submit', 'status': 'MAY'}, {'label': 'Quick-Run', 'status': 'MAY'}, {'label': 'Owners-Override', 'status': 'MAY'}, {'label': 'Bot-Commit', 'status': 'MAY'}, {'label': 'Commit-Queue', 'status': 'MAY'}, {'label': 'Code-Review', 'status': 'NEED'}]}, {'rule_name': 'code-owners~CodeOwnerSubmitRule', 'status': 'NOT_READY', 'requirements': [{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]}]","{'1142256': {'account': {'_account_id': 1142256}, 'last_update': '2021-11-18 18:03:51.000000000', 'reason': '<GERRIT_ACCOUNT_1166499> replied on the change', 'reason_account': {'_account_id': 1166499}}}",{},,,,,,
7,chromium%2Fsrc~refs%2Fbranch-heads%2F4692~I82be725f1fd36641059f1cdfebdabc12ee0e7014,chromium/src,refs/branch-heads/4692,[],I82be725f1fd36641059f1cdfebdabc12ee0e7014,[M97][LR] Add accessibility and file name strings.,NEW,2021-11-18 17:15:31.000000000,2021-11-18 18:03:50.000000000,REBASE_ALWAYS,131,59,1,0,True,9c8622c89a2f94c6640ac028f998a33d4dce0d6a,3291619,{'_account_id': 1403727},"[{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]","[{'rule_name': 'gerrit~PrologRule', 'status': 'OK', 'labels': [{'label': 'Auto-Submit', 'status': 'MAY'}, {'label': 'Quick-Run', 'status': 'MAY'}, {'label': 'Owners-Override', 'status': 'MAY'}, {'label': 'Bot-Commit', 'status': 'MAY'}, {'label': 'Commit-Queue', 'status': 'MAY'}, {'label': 'Code-Review', 'status': 'OK', 'applied_by': {'_account_id': 1331877}}]}, {'rule_name': 'code-owners~CodeOwnerSubmitRule', 'status': 'NOT_READY', 'requirements': [{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]}]","{'1403727': {'account': {'_account_id': 1403727}, 'last_update': '2021-11-18 18:03:50.000000000', 'reason': 'Someone else replied on the change'}, '1153419': {'account': {'_account_id': 1153419}, 'last_update': '2021-11-18 17:18:21.000000000', 'reason': '<GERRIT_ACCOUNT_1403727> replied on the change', 'reason_account': {'_account_id': 1403727}}}","{'1331877': {'account': {'_account_id': 1331877}, 'last_update': '2021-11-18 18:03:50.000000000', 'reason': 'removed on reply'}}",,3277272.0,12.0,,,
8,angle%2Fangle~main~I0c0b6615fccf4d20418c7e9bd7e4aa9a3cb1e88f,angle/angle,main,['vulkan'],I0c0b6615fccf4d20418c7e9bd7e4aa9a3cb1e88f,Vulkan: Enable translated GLSL and dump out shaders to temp directory,NEW,2021-11-18 02:40:26.000000000,2021-11-18 18:03:49.000000000,REBASE_ALWAYS,131,15,0,0,False,b5a0b50197fef4c88f9ff31bd3892c3932c8025b,3290577,{'_account_id': 1392020},"[{'status': 'OK', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]","[{'rule_name': 'gerrit~PrologRule', 'status': 'NOT_READY', 'labels': [{'label': 'Owners-Override', 'status': 'MAY'}, {'label': 'Bot-Commit', 'status': 'MAY'}, {'label': 'Commit-Queue', 'status': 'MAY'}, {'label': 'Code-Review', 'status': 'NEED'}]}, {'rule_name': 'code-owners~CodeOwnerSubmitRule', 'status': 'OK', 'requirements': [{'status': 'OK', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]}]",,,True,,,,,
9,chromium%2Fsrc~main~I1af7cd563004ee3f73e4a171015a47b3b0b03c6c,chromium/src,main,[],I1af7cd563004ee3f73e4a171015a47b3b0b03c6c,Replace the old ToV8 with new ToV8Traits interface in the V8 iterators.,NEW,2021-11-15 03:14:31.000000000,2021-11-18 18:03:48.000000000,REBASE_ALWAYS,229,133,62,1,True,a2d1158d8367b5a737a8e26d86b408424cd7031a,3280176,{'_account_id': 1522697},"[{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]","[{'rule_name': 'gerrit~PrologRule', 'status': 'OK', 'labels': [{'label': 'Auto-Submit', 'status': 'MAY'}, {'label': 'Quick-Run', 'status': 'MAY'}, {'label': 'Owners-Override', 'status': 'MAY'}, {'label': 'Bot-Commit', 'status': 'MAY'}, {'label': 'Commit-Queue', 'status': 'MAY'}, {'label': 'Code-Review', 'status': 'OK', 'applied_by': {'_account_id': 1144165}}]}, {'rule_name': 'code-owners~CodeOwnerSubmitRule', 'status': 'NOT_READY', 'requirements': [{'status': 'NOT_READY', 'fallback_text': 'Code Owners', 'type': 'code-owners'}]}]","{'1284134': {'account': {'_account_id': 1284134}, 'last_update': '2021-11-15 04:18:45.000000000', 'reason': '<GERRIT_ACCOUNT_1522697> replied on the change', 'reason_account': {'_account_id': 1522697}}, '1126249': {'account': {'_account_id': 1126249}, 'last_update': '2021-11-15 15:52:48.000000000', 'reason': '<GERRIT_ACCOUNT_1522697> replied on the change', 'reason_account': {'_account_id': 1522697}}, '1475663': {'account': {'_account_id': 1475663}, 'last_update': '2021-11-15 04:18:45.000000000', 'reason': '<GERRIT_ACCOUNT_1522697> replied on the change', 'reason_account': {'_account_id': 1522697}}, '1002823': {'account': {'_account_id': 1002823}, 'last_update': '2021-11-15 15:36:16.000000000', 'reason': '<GERRIT_ACCOUNT_1126249> replied on the change', 'reason_account': {'_account_id': 1126249}}, '1133074': {'account': {'_account_id': 1133074}, 'last_update': '2021-11-15 04:18:45.000000000', 'reason': '<GERRIT_ACCOUNT_1522697> replied on the change', 'reason_account': {'_account_id': 1522697}}, '1328910': {'account': {'_account_id': 1328910}, 'last_update': '2021-11-15 04:18:45.000000000', 'reason': '<GERRIT_ACCOUNT_1522697> replied on the change', 'reason_account': {'_account_id': 1522697}}, '1002507': {'account': {'_account_id': 1002507}, 'last_update': '2021-11-18 18:03:37.000000000', 'reason': '<GERRIT_ACCOUNT_1522697> replied on the change', 'reason_account': {'_account_id': 1522697}}}","{'1119849': {'account': {'_account_id': 1119849}, 'last_update': '2021-11-15 07:59:04.000000000', 'reason': '<GERRIT_ACCOUNT_1119849> replied on the change', 'reason_account': {'_account_id': 1119849}}, '1522697': {'account': {'_account_id': 1522697}, 'last_update': '2021-11-18 18:03:37.000000000', 'reason': '<GERRIT_ACCOUNT_1522697> replied on the change', 'reason_account': {'_account_id': 1522697}}, '1162220': {'account': {'_account_id': 1162220}, 'last_update': '2021-11-15 15:40:37.000000000', 'reason': 'removed on reply'}, '1114080': {'account': {'_account_id': 1114080}, 'last_update': '2021-11-15 04:58:17.000000000', 'reason': '<GERRIT_ACCOUNT_1114080> replied on the change', 'reason_account': {'_account_id': 1114080}}, '1144165': {'account': {'_account_id': 1144165}, 'last_update': '2021-11-15 19:16:20.000000000', 'reason': '<GERRIT_ACCOUNT_1144165> replied on the change', 'reason_account': {'_account_id': 1144165}}, '1211509': {'account': {'_account_id': 1211509}, 'last_update': '2021-11-15 14:26:19.000000000', 'reason': '<GERRIT_ACCOUNT_1211509> replied on the change', 'reason_account': {'_account_id': 1211509}}}",,,,,,
