,id,project,branch,topic,attention_set,hashtags,change_id,subject,status,created,updated,submit_type,mergeable,insertions,deletions,total_comment_count,unresolved_comment_count,has_review_started,_number,owner,requirements,cherry_pick_of_change,cherry_pick_of_patch_set,revert_of,work_in_progress,_more_changes
0,zuul%2Fzuul~master~I0baa4f415bdc61735fc42f9fd80a58309976096f,zuul/zuul,master,GUI_admin,"{'7186': {'account': {'_account_id': 7186}, 'last_update': '2021-11-17 23:06:25.000000000', 'reason': 'A robot voted negatively on a label'}}",[],I0baa4f415bdc61735fc42f9fd80a58309976096f,web UI: Add a credentials renew modal,NEW,2021-11-17 21:52:33.000000000,2021-11-25 18:14:21.000000000,MERGE_IF_NECESSARY,True,65,13,1,0,True,818295,{'_account_id': 7186},[],,,,,
1,starlingx%2Fstx-puppet~master~Ie108392f6121d860da67da2af353a20917f45bbd,starlingx/stx-puppet,master,,"{'33278': {'account': {'_account_id': 33278}, 'last_update': '2021-11-24 19:24:46.000000000', 'reason': 'A robot voted negatively on a label'}}",[],Ie108392f6121d860da67da2af353a20917f45bbd,[WIP] Remove mon restart from puppet,NEW,2021-11-24 19:14:58.000000000,2021-11-25 18:14:20.000000000,MERGE_IF_NECESSARY,True,5,5,0,0,True,819159,{'_account_id': 33278},[],,,,,
2,openstack%2Fkuryr-kubernetes~master~I7dcd7f9069500bc6f58fecc7ee5e1621bc203b82,openstack/kuryr-kubernetes,master,bp/reconcile-openstack-resources-with-k8s,"{'23567': {'account': {'_account_id': 23567}, 'last_update': '2021-10-14 23:43:38.000000000', 'reason': 'Sunday Mgbogu replied on the change'}, '27032': {'account': {'_account_id': 27032}, 'last_update': '2021-11-24 11:24:45.000000000', 'reason': 'Sunday Mgbogu replied on the change'}, '11600': {'account': {'_account_id': 11600}, 'last_update': '2021-11-09 15:13:20.000000000', 'reason': 'Sunday Mgbogu replied on the change'}}",[],I7dcd7f9069500bc6f58fecc7ee5e1621bc203b82,wip: KuryrLoadBalancer Listener Reconciliation,NEW,2021-10-14 23:39:06.000000000,2021-11-25 18:13:50.000000000,MERGE_IF_NECESSARY,True,105,76,30,8,True,814077,{'_account_id': 33240},[],,,,,
3,openstack%2Ftripleo-quickstart~master~I8bcab8357110ab6bbf19bfba773a7b7b71c68512,openstack/tripleo-quickstart,master,ci-collections,"{'6926': {'account': {'_account_id': 6926}, 'last_update': '2021-11-23 12:48:17.000000000', 'reason': 'Shnaidman Sagi replied on the change'}, '10969': {'account': {'_account_id': 10969}, 'last_update': '2021-11-25 18:13:10.000000000', 'reason': 'A robot voted negatively on a label'}, '8449': {'account': {'_account_id': 8449}, 'last_update': '2021-11-24 18:49:57.000000000', 'reason': 'Shnaidman Sagi replied on the change'}}",[],I8bcab8357110ab6bbf19bfba773a7b7b71c68512,Install collection deps for quickstart,NEW,2021-11-22 15:57:35.000000000,2021-11-25 18:13:10.000000000,MERGE_IF_NECESSARY,True,26,0,12,1,True,818794,{'_account_id': 10969},[],,,,,
4,openstack%2Fopenstacksdk~master~I676c3b2dd6b4135fb1ab65cc99315f87c13ec3a8,openstack/openstacksdk,master,compute-gaps,{},[],I676c3b2dd6b4135fb1ab65cc99315f87c13ec3a8,compute: Add support for server lock reason,NEW,2021-11-25 11:22:17.000000000,2021-11-25 18:12:59.000000000,MERGE_IF_NECESSARY,True,39,6,5,0,True,819293,{'_account_id': 15334},[],,,,,
5,openstack%2Fansible-role-collect-logs~master~I3d16e7e7de8afe123ee2b7175c242ceaf3c0af65,openstack/ansible-role-collect-logs,master,podmant,"{'10969': {'account': {'_account_id': 10969}, 'last_update': '2021-11-25 15:18:16.000000000', 'reason': 'A robot voted negatively on a label'}}",[],I3d16e7e7de8afe123ee2b7175c242ceaf3c0af65,Use podman driver with molecule,NEW,2021-11-25 08:40:36.000000000,2021-11-25 18:12:44.000000000,MERGE_IF_NECESSARY,True,33,9,1,0,True,819266,{'_account_id': 10969},[],,,,,
6,openstack%2Fnova~master~I0c33130a745b986f1bcd2ec177f78e3bb68d2271,openstack/nova,master,sqlalchemy-20,{},[],I0c33130a745b986f1bcd2ec177f78e3bb68d2271,db: Don't use legacy 'Row()' methods,NEW,2021-11-12 11:27:19.000000000,2021-11-25 18:12:43.000000000,MERGE_IF_NECESSARY,True,1,13,5,0,True,817746,{'_account_id': 15334},[],,,,,
7,openstack%2Fmanila~master~I2e6d8709fc02df16622bdc910127fa489835db38,openstack/manila,master,bug/1950313,"{'20104': {'account': {'_account_id': 20104}, 'last_update': '2021-11-10 10:06:00.000000000', 'reason': 'Kiran Pawar replied on the change'}, '32919': {'account': {'_account_id': 32919}, 'last_update': '2021-11-20 09:58:44.000000000', 'reason': 'Someone else replied on the change'}, '30002': {'account': {'_account_id': 30002}, 'last_update': '2021-11-10 10:06:00.000000000', 'reason': 'Kiran Pawar replied on the change'}, '16643': {'account': {'_account_id': 16643}, 'last_update': '2021-11-10 10:06:00.000000000', 'reason': 'Kiran Pawar replied on the change'}}",[],I2e6d8709fc02df16622bdc910127fa489835db38,Add support of scheduler_hints in share replica create,NEW,2021-11-10 10:05:12.000000000,2021-11-25 18:12:33.000000000,MERGE_IF_NECESSARY,True,33,11,16,2,True,817379,{'_account_id': 32919},[],,,,,
8,openstack%2Fmanila~master~I603434cac246e2c0946672d3f0fe469ed5423fa4,openstack/manila,master,bug/1946462,"{'31721': {'account': {'_account_id': 31721}, 'last_update': '2021-10-20 15:17:06.000000000', 'reason': 'Kiran Pawar replied on the change'}, '29632': {'account': {'_account_id': 29632}, 'last_update': '2021-11-20 09:14:39.000000000', 'reason': 'Kiran Pawar replied on the change'}}",[],I603434cac246e2c0946672d3f0fe469ed5423fa4,OnlyHostFilter allows user to specify host during share create.,NEW,2021-10-10 08:18:56.000000000,2021-11-25 18:12:17.000000000,MERGE_IF_NECESSARY,True,139,24,25,1,True,813293,{'_account_id': 32919},[],,,,,
9,zuul%2Fzuul~master~I9d1cc8a1d751e7b4ce32e7abecc2ad9f3e96f676,zuul/zuul,master,GUI_admin,{},[],I9d1cc8a1d751e7b4ce32e7abecc2ad9f3e96f676,"Web UI: Add ""Create Autohold Request"" form, improve API error messages",NEW,2021-07-27 16:58:57.000000000,2021-11-25 18:11:26.000000000,MERGE_IF_NECESSARY,True,312,118,12,1,True,802559,{'_account_id': 7186},[],,,,,
